"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Coronary Disease"	"Margaric acid"	10465	"3378445, 3493962, 3704134, 3873087, 3878786, 3996438, 6228070, 6368234, 6531213, 6653603, 6834135, 12109036, 25647578"	1.76884006278807e-11	3.2933384791067e-11
"Myocardial Infarction"	"Margaric acid"	10465	"1690945, 3878786, 6228070, 6531213, 6834135, 6979156, 15035691, 21549582"	3.88019048015567e-07	6.69820267469642e-07
"Cystic Fibrosis"	"Margaric acid"	10465	"19277125, 20429932, 21059219, 23357842"	1.57573751863272e-05	2.61318137579442e-05
"Diabetes Mellitus, Type 2"	"Margaric acid"	10465	"18042359, 20873573, 21170321, 25647578, 28424190, 30303968, 31052447"	7.623196990787e-05	0.000123996621698028
"Fatty Liver"	"Margaric acid"	10465	"18812595, 21119028, 22165986"	0.00256403358331844	0.00393208873961881
"Perceptual Disorders"	"Margaric acid"	10465	"14738334"	0.00307162711549658	0.00469213624655066
"Hydrops Fetalis"	"Margaric acid"	10465	"30867417"	0.00371710018481508	0.0056538947706454
"Angina Pectoris"	"Margaric acid"	10465	"4085508, 6531213"	0.00480968271551387	0.00727999559739514
"Anemia, Hemolytic, Congenital"	"Margaric acid"	10465	"30867417"	0.00629487819173746	0.00947248465903851
"Non-alcoholic Fatty Liver Disease"	"Margaric acid"	10465	"22165986, 24740208"	0.00691144333824958	0.0103776944284054
"Cardiomegaly"	"Margaric acid"	10465	"2963469, 6228070"	0.0086390273710893	0.012901612467833
"Obesity"	"Margaric acid"	10465	"20682695, 21170321, 21549582, 21779090, 27501297"	0.0129910913573407	0.0191985508922673
"HIV-Associated Lipodystrophy Syndrome"	"Margaric acid"	10465	"21085568"	0.0138291644844687	0.0204037717820367
"Choline Deficiency"	"Margaric acid"	10465	"21119028"	0.0163811666320813	0.0240636839647974
"Gaucher Disease"	"Margaric acid"	10465	"18501647"	0.0164608117854927	0.0241776082241086
"Intracranial Embolism and Thrombosis"	"Margaric acid"	10465	"9249128"	0.01717733235248	0.0252022590624883
"Embolism, Fat"	"Margaric acid"	10465	"9249128"	0.0177342706058037	0.0259980552550363
"Fatigue Syndrome, Chronic"	"Margaric acid"	10465	"29968805"	0.0235238462177273	0.0342214553249709
"Irritable Bowel Syndrome"	"Margaric acid"	10465	"29968805"	0.0236029216180706	0.034331150194634
"Stroke"	"Margaric acid"	10465	"25411278, 30007304"	0.0307401828277705	0.0443202441922042
"Alcoholic Intoxication"	"Margaric acid"	10465	"3774262"	0.0324195652982373	0.0466485759055315
"Diabetes Mellitus, Type 2"	"Arachidic acid"	10467	"14636844, 17878672, 21170321, 30275386, 30982858, 31052447"	3.14250574870263e-05	5.16918555597351e-05
"Insulin Resistance"	"Arachidic acid"	10467	"14592453, 17878672, 18055661, 21704120, 21843327"	0.000109316436200513	0.00017695943532652
"Thrombocythemia, Essential"	"Arachidic acid"	10467	"16928606"	0.00381100776084631	0.0057933016437997
"Head and Neck Neoplasms"	"Arachidic acid"	10467	"23174411, 23665478"	0.00527425413147906	0.00796463734752019
"Genetic Diseases, Inborn"	"Arachidic acid"	10467	"20676935"	0.00779972308657462	0.0116798213287306
"Tachycardia, Ventricular"	"Arachidic acid"	10467	"20569715"	0.00909389717757247	0.0135641822896943
"Leukoplakia, Oral"	"Arachidic acid"	10467	"21190195"	0.0100036255177781	0.014883350652821
"Fatigue Syndrome, Chronic"	"Arachidic acid"	10467	"29968805"	0.014111168820572	0.0208083769193689
"Irritable Bowel Syndrome"	"Arachidic acid"	10467	"29968805"	0.0141588330847164	0.0208777531595683
"Adrenoleukodystrophy"	"Arachidic acid"	10467	"19801636"	0.0143018123968083	0.0210835296157489
"Gastroesophageal Reflux"	"Arachidic acid"	10467	"19408097"	0.0170145810145337	0.024967983274216
"Ichthyosis"	"Arachidic acid"	10467	"20676935"	0.0172997117998567	0.0253782494481176
"Death, Sudden, Cardiac"	"Arachidic acid"	10467	"20569715"	0.018629256254362	0.0272757522879219
"Rosacea"	"Arachidic acid"	10467	"21967555"	0.0261930748433239	0.0379813112121214
"Genetic Predisposition to Disease"	"Arachidic acid"	10467	"18167305, 20569715"	0.0265026721596156	0.0384206409660551
"Sleep Wake Disorders"	"Arachidic acid"	10467	"29968805"	0.0312196306625453	0.0449838476965222
"Coronary Artery Disease"	"Arachidic acid"	10467	"15580322, 20569715"	0.031405051766694	0.0452461792151906
"Adrenoleukodystrophy"	"Cerotic acid"	10469	"2290480, 2294415, 2437859, 2440378, 2899227, 3037987, 3119941, 3244051, 3246111, 3366206, 3382393, 3529811, 3587618, 3856557, 3951702, 4056832, 4087027, 4087029, 6209596, 6465061, 6709009, 6729621, 8598113, 10870849, 10904139, 11522057, 12497991, 14602084, 14732478, 16009761, 16750542, 16828324, 17928186, 18026827, 18178290, 18344354, 19022859, 19269120, 19801636, 19965514, 20089986, 20179078, 21399389, 21786300, 22095690, 22189598, 22447153, 22525090, 26642716"	1.83523623498422e-146	6.50520897969918e-146
"Diffuse Cerebral Sclerosis of Schilder"	"Cerotic acid"	10469	"2294415, 2440378, 2899227, 3037987, 3119941, 3246111, 3366206, 3382393, 3529811, 3587618, 3856557, 3951702, 4056832, 4087027, 4087029, 6465061, 6729621, 7436359"	3.95423197163214e-49	1.02156559296058e-48
"Refsum Disease"	"Cerotic acid"	10469	"1700075, 2437859, 2440378, 2452736, 6209596"	5.62244999540152e-12	1.05486891418881e-11
"Tooth Discoloration"	"Cerotic acid"	10469	"12887798, 15652162, 16471404"	4.55324172068119e-07	7.84863797883725e-07
"Zellweger Syndrome"	"Cerotic acid"	10469	"8441343, 9323560"	8.5287348286405e-05	0.000138524753949137
"Adrenal Gland Diseases"	"Cerotic acid"	10469	"7063272, 7309718, 7437052"	9.48008816189939e-05	0.000153784690151623
"Syndrome"	"Cerotic acid"	10469	"3652452, 3680527, 6709009, 6723067, 7436359"	0.000173795576667901	0.000279363329720942
"Diastema"	"Cerotic acid"	10469	"15622881"	0.000630533759144347	0.000992767874034917
"Tooth Abrasion"	"Cerotic acid"	10469	"16471404"	0.000735584503557929	0.00115535617024469
"Fluorosis, Dental"	"Cerotic acid"	10469	"16471404"	0.00126067451242107	0.00196179427577309
"Tics"	"Cerotic acid"	10469	"12497991"	0.0013656597793994	0.00212200505400102
"Lipid Metabolism, Inborn Errors"	"Cerotic acid"	10469	"7309718, 7437052"	0.00161690051123806	0.00250409958501453
"Crush Syndrome"	"Cerotic acid"	10469	"9074810"	0.00168055013091328	0.00260025176182826
"Demyelinating Diseases"	"Cerotic acid"	10469	"7063272, 19022859"	0.00176297822024428	0.00272529630965634
"Bruxism"	"Cerotic acid"	10469	"16471404"	0.00199534233182153	0.00307636620760441
"Abnormalities, Multiple"	"Cerotic acid"	10469	"2437859, 6709009"	0.00217760592504815	0.00335198914317918
"Tuberculosis"	"Cerotic acid"	10469	"9616124, 19631943, 24320132"	0.00265289579471084	0.0040656137554351
"Blepharospasm"	"Cerotic acid"	10469	"9443469"	0.00283430858343103	0.00433703469390709
"Iron Metabolism Disorders"	"Cerotic acid"	10469	"9443469"	0.00388203606721738	0.00589875198654099
"Tooth Erosion"	"Cerotic acid"	10469	"16471404"	0.00451015014387268	0.00683403831949726
"Dentin Sensitivity"	"Cerotic acid"	10469	"15816665"	0.00607872298410272	0.00915200690941689
"Multiple Sclerosis, Chronic Progressive"	"Cerotic acid"	10469	"19965514"	0.00847912406095674	0.0126684944454123
"Kidney Diseases, Cystic"	"Cerotic acid"	10469	"6709009"	0.00847912406095674	0.0126684944454123
"Scoliosis"	"Cerotic acid"	10469	"1638"	0.0108737944480857	0.0161450492205284
"Rett Syndrome"	"Cerotic acid"	10469	"10094444"	0.0111857209783723	0.0165961307709665
"Peroxisomal Disorders"	"Cerotic acid"	10469	"16828324"	0.0116014717656321	0.0171998342367384
"Brain Diseases"	"Cerotic acid"	10469	"6709009, 6723067"	0.0156985400593236	0.023082468097244
"Hyperkinesis"	"Cerotic acid"	10469	"18026827"	0.0178170377983133	0.0261166563132698
"Polycystic Kidney Diseases"	"Cerotic acid"	10469	"3680527"	0.0202924316134389	0.0296476685410536
"Brain Diseases, Metabolic"	"Cerotic acid"	10469	"7437052"	0.0216306939404595	0.0315439714374632
"Learning Disabilities"	"Cerotic acid"	10469	"18026827"	0.0288057202289085	0.0416486115342593
"Diseases in Twins"	"Cerotic acid"	10469	"9323560"	0.0330857430792821	0.0475536362676752
"Adrenal Insufficiency"	"Cerotic acid"	10469	"7436359, 21399389"	0.0341603367513347	0.0489951143744268
"Venous Thrombosis"	"Montanic acid"	10470	"12213431, 15298777"	1.03065285416421e-05	1.71852951330758e-05
"Chemical and Drug Induced Liver Injury"	"Montanic acid"	10470	"12635492, 16176145"	0.000428132134859799	0.000678033308516608
"Liver Diseases"	"Montanic acid"	10470	"12635492, 16176145"	0.000537619668664729	0.000848652811385364
"Death, Sudden"	"Montanic acid"	10470	"12711246"	0.00253454085847937	0.0038877072406887
"Pulmonary Eosinophilia"	"Montanic acid"	10470	"18382613"	0.00336973007952768	0.00513525092903864
"Bronchial Hyperreactivity"	"Montanic acid"	10470	"18382613"	0.00503831043046332	0.00761797405412365
"Abnormalities, Drug-Induced"	"Montanic acid"	10470	"12453732"	0.0175015101597903	0.0256653168087031
"Thrombosis"	"Montanic acid"	10470	"12711246"	0.0260830784183284	0.0378242801479511
"Weight Gain"	"Montanic acid"	10470	"12453732"	0.0326455492051628	0.0469386789734896
"Necrosis"	"Montanic acid"	10470	"16176145"	0.0342884402945746	0.049172796215915
"Adrenoleukodystrophy"	"Lignoceric acid"	11197	"1618832, 1639130, 2049396, 2117919, 2141053, 2427264, 2437859, 2441904, 2705786, 2899227, 3174658, 3561895, 3587618, 4087029, 6538003, 6588384, 8187886, 8399326, 8486724, 8598113, 8618694, 9007322, 9600263, 9799802, 10904139, 11438993, 11522057, 12865096, 14732478, 15388659, 16750542, 17928186, 19965514, 20089986, 21399389, 26642716, 27324171"	4.95522736239701e-102	1.57541288739986e-101
"Zellweger Syndrome"	"Lignoceric acid"	11197	"1511996, 1639130, 2049396, 2141053, 8059925, 8399326, 8486724, 8618694, 8726233, 9799802, 10574659, 27324171"	7.25317180105215e-32	1.67483326829227e-31
"Diffuse Cerebral Sclerosis of Schilder"	"Lignoceric acid"	11197	"2117919, 2141053, 2427264, 2705786, 2899227, 3174658, 3561895, 3587618, 4087029, 6538003, 6588384"	2.48521875845051e-27	5.51971727735438e-27
"Peroxisomal Disorders"	"Lignoceric acid"	11197	"9345094, 11104019, 16103719, 27324171"	1.09580009104041e-09	1.98357284598328e-09
"Lipid Metabolism, Inborn Errors"	"Lignoceric acid"	11197	"236752, 836393, 2441904, 3767370, 27324171"	8.58931901534696e-09	1.53183603298275e-08
"Refsum Disease"	"Lignoceric acid"	11197	"2427264, 2437859, 2441904"	7.91280505397689e-07	1.35584213916246e-06
"Encephalopathy, Bovine Spongiform"	"Lignoceric acid"	11197	"11938569, 16782118"	7.7658315674642e-06	1.29908115771489e-05
"Chondrodysplasia Punctata"	"Lignoceric acid"	11197	"8059925, 8486724"	2.44526272648978e-05	4.03577011526276e-05
"Abnormalities, Multiple"	"Lignoceric acid"	11197	"2437859, 3662528, 6588384"	6.81154417934746e-05	0.000110936254038139
"Liver Diseases"	"Lignoceric acid"	11197	"2441904, 6588384, 19851226, 21808061, 21900402"	0.00015824639405076	0.000254728820795014
"Syndrome"	"Lignoceric acid"	11197	"2427264, 2441904, 3662528, 3680527, 6588384"	0.000302844105342719	0.000482222110178649
"Bone Marrow Failure Disorders"	"Lignoceric acid"	11197	"22124468"	0.00118344396327141	0.00184386090031343
"Ischemia"	"Lignoceric acid"	11197	"1575521, 3185124, 8399363"	0.00375131722507761	0.0057047868559905
"Multiple Sclerosis, Chronic Progressive"	"Lignoceric acid"	11197	"19965514"	0.00954612787738096	0.0142200642478143
"Rett Syndrome"	"Lignoceric acid"	11197	"10094444"	0.0125911515095136	0.0186230960172617
"Neuronal Ceroid-Lipofuscinoses"	"Lignoceric acid"	11197	"8971698"	0.0151604712650361	0.0223129524047461
"Diabetes Mellitus, Type 2"	"Lignoceric acid"	11197	"17878672, 21170321, 30275386, 30982858, 31052447"	0.0176245863449731	0.0258415112981657
"Genetic Diseases, Inborn"	"Lignoceric acid"	11197	"2427264"	0.0190020482864277	0.0278118590487694
"Prion Diseases"	"Lignoceric acid"	11197	"16217923"	0.0194666849488483	0.0284766508656343
"Brain Diseases"	"Lignoceric acid"	11197	"2441904, 6588384"	0.0196344338507693	0.0287153917024602
"Hemoglobinuria, Paroxysmal"	"Lignoceric acid"	11197	"22124468"	0.0207433129171939	0.0302797869919915
"Small Cell Lung Carcinoma"	"Lignoceric acid"	11197	"25702090"	0.0208592883936833	0.0304439413056125
"Polycystic Kidney Diseases"	"Lignoceric acid"	11197	"3680527"	0.0228287927322663	0.0332345562887867
"Sex Chromosome Aberrations"	"Lignoceric acid"	11197	"6588384"	0.0257180014856893	0.0373137842825105
"Adenocarcinoma of Lung"	"Lignoceric acid"	11197	"25702090"	0.02836860494955	0.0410358107156244
"Insulin Resistance"	"Lignoceric acid"	11197	"14592453, 16895544, 17638705, 17878672"	0.0297131558292226	0.0428821331409108
"Multiple Sclerosis"	"Lignoceric acid"	11197	"16447760, 19965514"	0.0310898568561551	0.0448009913493216
"Paraplegia"	"Nonadecylic acid"	12591	"15852057"	0.00166022061807924	0.00256945812829443
"Spinal Cord Injuries"	"Nonadecylic acid"	12591	"15852057"	0.0101440152213331	0.0150876896247122
"Leukemia, Promyelocytic, Acute"	"Nonadecylic acid"	12591	"22230194"	0.0192661362053554	0.0281894446930135
"Reperfusion Injury"	"Nonadecylic acid"	12591	"12152319"	0.019765656842755	0.0289013360523901
"Melanoma"	"Nonadecylic acid"	12591	"19017389"	0.0198845603225192	0.0290699263464844
"Biotinidase Deficiency"	"10-Octadecenoic acid"	12745	"14203355"	2.05399592825284e-05	3.39792420207906e-05
"Carcinoma, Ehrlich Tumor"	"delta-dodecalactone"	12844	"18566579"	0.00161903208462466	0.00250720714480007
"Olfaction Disorders"	"gamma-dodecalactone"	16821	"24803088"	0.000340721677510536	0.000541691248579386
"Premature Birth"	"Heneicosylic acid"	16898	"19515230"	0.00543727921305281	0.00820304774809624
"Peroxisomal Disorders"	"Tricosylic acid"	17085	"11104019"	0.000804415790070734	0.00126135825720168
"Nociceptive Pain"	"Tricosylic acid"	17085	"30217788"	0.000818904821213162	0.00128359625119747
"Rosacea"	"Tricosylic acid"	17085	"21967555"	0.00397333708676861	0.00603509363409191
"Non-alcoholic Fatty Liver Disease"	"Tricosylic acid"	17085	"21327395"	0.0109901980645807	0.0163142347334032
"Infertility, Male"	"Tricosylic acid"	17085	"28109274"	0.017415852831829	0.0255423781246048
"Fatty Liver"	"Tricosylic acid"	17085	"21327395"	0.0238706260337225	0.0347070210316477
"Infertility, Female"	"Tricosylic acid"	17085	"28109274"	0.0257448245401407	0.0373520723057092
"Weight Gain"	"Tricosylic acid"	17085	"21327395"	0.0280479574159909	0.040585513042387
"Hemolysis"	"Isostearic acid"	21859	"6324464"	0.00323806416924921	0.00493837282019364
"Carcinoma 256, Walker"	"Anteisoheptadecanoic acid"	22207	"4022192"	0.000729639969649365	0.00114626692037329
"Fatty Liver"	"Anteisoheptadecanoic acid"	22207	"25287814"	0.00802102107356084	0.0120035318770927
"Burns, Chemical"	"2-hexyl-decanoic acid"	32912	"10445690"	0.000403549788257185	0.000639686630234131
"Hyperpigmentation"	"2-hexyl-decanoic acid"	32912	"10445690"	0.000571494161214159	0.000901465259442668
"Actinomycetales Infections"	"Isopalmitic acid"	36247	"15388726"	0.000335860743484351	0.000534092791361755
"Wounds and Injuries"	"Isopalmitic acid"	36247	"15388726"	0.00290007151849847	0.00443561853460948
"Tuberculosis, Pulmonary"	"Isopalmitic acid"	36247	"21764638"	0.00544412028382713	0.00821323789467594
"Tuberculosis, Meningeal"	"10-methyl-octadecanoic acid"	65037	"1621393, 1776250, 1935677, 2351743, 2611993, 2739821, 2885596, 3611313, 3818936, 6130374, 8082216, 8762491, 9698223"	2.14318136432904e-33	5.0094882267763e-33
"Tuberculosis, Pulmonary"	"10-methyl-octadecanoic acid"	65037	"1424921, 1438665, 2313961, 2383974, 2802420, 3329256, 3584423, 3598233, 3921786, 6771301, 6797240, 8206080, 8590925, 8680374, 8887930, 9698223, 31229913"	1.47580758763614e-30	3.37672798665635e-30
"Tuberculosis"	"10-methyl-octadecanoic acid"	65037	"1698213, 3225336, 6368384, 8129475, 8438134, 8837405, 9472140, 9698223, 11232844, 12938143, 14723350, 15305489, 16690044, 19631943, 23454100, 24320132"	2.077647140574e-27	4.61627106830428e-27
"Pleural Effusion"	"10-methyl-octadecanoic acid"	65037	"1392176, 1424921, 1935278, 2383974, 8680374, 9698223"	3.83312912490244e-11	7.09617269709033e-11
"Leprosy"	"10-methyl-octadecanoic acid"	65037	"1308529, 6353179, 6532280, 8374515"	4.73979396410657e-08	8.33614886578097e-08
"Mycobacterium Infections"	"10-methyl-octadecanoic acid"	65037	"1698213, 7544021, 9472140"	2.61359530633685e-06	4.42298673762667e-06
"Tuberculosis, Pleural"	"10-methyl-octadecanoic acid"	65037	"1392176, 1935278"	2.4021252441381e-05	3.96524628226911e-05
"Meningitis"	"10-methyl-octadecanoic acid"	65037	"1935677, 3818936"	0.00188481680716622	0.0029094210488863
"Nasopharyngeal Diseases"	"10-methyl-octadecanoic acid"	65037	"3225336"	0.00205802224405138	0.00317152354722234
"Granuloma"	"10-methyl-octadecanoic acid"	65037	"3225336, 6353179"	0.00551195505687338	0.00831414690482972
"Cysticercosis"	"10-methyl-octadecanoic acid"	65037	"1671506"	0.00800939263603684	0.0119874928092632
"Tuberculosis, Multidrug-Resistant"	"10-methyl-octadecanoic acid"	65037	"21628538"	0.0113663533152331	0.0168578161093141
"Nocardia Infections"	"10-methyl-octadecanoic acid"	65037	"3818936"	0.0201335413536985	0.0294192911557514
"Sarcoidosis, Pulmonary"	"10-methyl-octadecanoic acid"	65037	"8887930"	0.0214355131150243	0.0312645359490478
"Pericardial Effusion"	"10-methyl-octadecanoic acid"	65037	"9698223"	0.0270793537885334	0.0392297843581988
"Mycobacterium avium-intracellulare Infection"	"10-methyl-octadecanoic acid"	65037	"9472140"	0.0318546998877822	0.0458802126324805
"Fish Diseases"	"10-methyl-octadecanoic acid"	65037	"21314902"	0.0341052860146277	0.0489207227255367
"Burkholderia Infections"	"2-lauroleic acid"	96204	"18049456, 20624216"	1.03001599511438e-08	1.83409623178552e-08
"Pneumonia, Bacterial"	"2-lauroleic acid"	96204	"20624216"	0.00260751654532621	0.00399756686597175
"Candidiasis"	"2-lauroleic acid"	96204	"21778264"	0.0117125092646118	0.017361565395537
"Carcinoma, Ehrlich Tumor"	"delta-hexadecalactone"	110976	"18566579"	0.00323544485736083	0.00493443104848195
"Neoplasm Invasiveness"	"delta-hexadecalactone"	110976	"17382354"	0.0113323567214079	0.0168088415200332
"Gaucher Disease"	"2-methyl-octadecanoic acid"	111278	"18501647"	0.000247687744289626	0.000395762792658488
"Peroxisomal Disorders"	"2-methyl-hexadecanoic acid"	117384	"11473573"	0.000268209879066172	0.000427905523657597
"Vitamin K Deficiency"	"2-methyl-hexadecanoic acid"	117384	"11473573"	0.000594362602431397	0.000936889848861613
"Malabsorption Syndromes"	"2-methyl-hexadecanoic acid"	117384	"11473573"	0.00166425292936101	0.00257562586649632
"Fatigue Syndrome, Chronic"	"PC(14:0/16:0)"	129657	"29968805"	0.00071031519204956	0.00111640425166029
"Irritable Bowel Syndrome"	"PC(14:0/16:0)"	129657	"29968805"	0.000712730799468542	0.00112013336881672
"Sleep Wake Disorders"	"PC(14:0/16:0)"	129657	"29968805"	0.00158457430434311	0.0024549439293549
"Fatigue"	"PC(14:0/16:0)"	129657	"29968805"	0.00305932056896552	0.00467380922457682
"Biotinidase Deficiency"	"16-heptadecenoic acid"	152958	"14203355"	4.10795214922377e-05	6.7366993503944e-05
"Gastritis"	"2-octyl-cyclopropaneoctanoic acid"	160788	"3981612"	0.00460265952361738	0.00697157563405917
"Stomach Neoplasms"	"2-octyl-cyclopropaneoctanoic acid"	160788	"9667658"	0.0207249218623465	0.0302536588762786
"Fatigue Syndrome, Chronic"	"Dodecanoylcarnitine"	168381	"29968805"	0.00071031519204956	0.00111640425166029
"Irritable Bowel Syndrome"	"Dodecanoylcarnitine"	168381	"29968805"	0.000712730799468542	0.00112013336881672
"Sleep Wake Disorders"	"Dodecanoylcarnitine"	168381	"29968805"	0.00158457430434311	0.0024549439293549
"Fatigue"	"Dodecanoylcarnitine"	168381	"29968805"	0.00305932056896552	0.00467380922457682
"Metabolic Syndrome"	"Dodecanoylcarnitine"	168381	"22701716"	0.0170857233116564	0.0250697538850974
"Influenza, Human"	"Prostanoic acid skeleton"	439642	"22679724"	0.00243382329463115	0.00373687698645616
"Helicobacter Infections"	"Prostanoic acid skeleton"	439642	"18975081"	0.0134557104809335	0.0198653907707402
"Insulin Resistance"	"cis-9-palmitoleic acid"	445638	"16822230, 20065507, 20943795, 21173398, 21173413, 21266364, 21774832, 22768070, 23084639, 23150678, 23183516, 23214140, 23324899, 24153340, 24740208, 24973767, 25147439, 25236425, 25411288, 25527748, 26475209, 26648072, 28096141, 28980402, 29443549, 29446544"	3.03178122546367e-20	6.29353291446352e-20
"Obesity"	"cis-9-palmitoleic acid"	445638	"2040552, 6656535, 15857162, 16210702, 18068341, 19910642, 20541362, 21084651, 21170321, 21266364, 23214140, 25559239, 25987561, 26648072, 27501297, 27624102, 28096141, 28145413, 28317846, 28870233, 28980402, 30257485"	5.07628877229163e-11	9.37982769815095e-11
"Diabetes Mellitus, Type 2"	"cis-9-palmitoleic acid"	445638	"17093151, 19889804, 21170321, 21173398, 21173413, 22209679, 23183516, 23362303, 24153340, 25236425, 25411288, 26648072, 27624102, 28988346, 30303968, 30947713, 31124561, 31412623"	6.03028749708832e-10	1.09674715320392e-09
"Non-alcoholic Fatty Liver Disease"	"cis-9-palmitoleic acid"	445638	"22209679, 24740208, 25527748, 25574105, 26817937, 28870233, 30054905, 30400243"	2.48469779447247e-09	4.46912368218406e-09
"Fatty Liver"	"cis-9-palmitoleic acid"	445638	"1260416, 20206402, 21774832, 22209679, 22768070, 27925195, 28096141"	1.06488267922499e-05	1.77509896912332e-05
"Pancreatitis, Alcoholic"	"cis-9-palmitoleic acid"	445638	"23878235, 24162590"	3.92112369493934e-05	6.43262794664417e-05
"Inflammation"	"cis-9-palmitoleic acid"	445638	"2150301, 19910642, 22209225, 22768070, 23214140, 23833248, 25087591, 25499944, 27683551, 28185444, 28988346, 30102465, 30307983"	0.000285001455318878	0.000454185003776449
"Metabolic Syndrome"	"cis-9-palmitoleic acid"	445638	"23015321, 25046734, 25236425, 25415333, 26817937, 28980402, 29301242"	0.00108301447001751	0.00168990152512302
"Obesity, Maternal"	"cis-9-palmitoleic acid"	445638	"30811959"	0.00109901114593625	0.00171436917673656
"Fatigue"	"cis-9-palmitoleic acid"	445638	"23394493, 28927488, 29968805"	0.00288496213389996	0.00441303364008396
"Melanoma, Experimental"	"cis-9-palmitoleic acid"	445638	"2371287, 20484837, 21918746"	0.00347998634329973	0.00530037629739316
"Obesity, Abdominal"	"cis-9-palmitoleic acid"	445638	"23228571, 29301242"	0.00413205367429732	0.00627199266001502
"Weight Loss"	"cis-9-palmitoleic acid"	445638	"2040552, 15857162, 23098653, 25574105"	0.00450374322962557	0.00682447932805248
"Arrhythmias, Cardiac"	"cis-9-palmitoleic acid"	445638	"9012353, 16646586, 17965287"	0.00501474628092667	0.00758327245666571
"Overweight"	"cis-9-palmitoleic acid"	445638	"25527748, 27624102, 28870233"	0.00766016637923371	0.0114752099593243
"Atherosclerosis"	"cis-9-palmitoleic acid"	445638	"17240191, 23407305, 27501297, 27683551, 28980402, 30921498"	0.00889161257778896	0.0132695410220219
"Sleep Wake Disorders"	"cis-9-palmitoleic acid"	445638	"17123808, 29968805"	0.0094019178620805	0.0140104588745701
"Diabetes Mellitus"	"cis-9-palmitoleic acid"	445638	"10102381, 20943795, 23407305, 27501297, 28096141, 29446544"	0.0097195100364611	0.0144712928958975
"Body Weight"	"cis-9-palmitoleic acid"	445638	"1662585, 7987728, 8869887, 9857071, 11334555, 15649284, 21161792, 22146722, 23098653, 23800210, 24022867, 25057807, 30425202"	0.0103882220770192	0.0154438325055447
"Liver Neoplasms, Experimental"	"cis-9-palmitoleic acid"	445638	"1503901, 2870604, 12860277"	0.0126407640748031	0.0186943461142911
"Cardiovascular Diseases"	"cis-9-palmitoleic acid"	445638	"23183516, 25236425, 26817937, 27501297, 28915883, 29301242, 29376474, 30007304, 31891641"	0.0127448770192801	0.0188440049266229
"Ornithine Carbamoyltransferase Deficiency Disease"	"cis-9-palmitoleic acid"	445638	"9427146"	0.0163596337153827	0.0240337413646561
"Enterocolitis"	"cis-9-palmitoleic acid"	445638	"26374098"	0.0200306554017124	0.0292733317300629
"Exocrine Pancreatic Insufficiency"	"cis-9-palmitoleic acid"	445638	"3918287"	0.021107772311278	0.0307968779609872
"Hyperinsulinism"	"cis-9-palmitoleic acid"	445638	"17093151, 19889804"	0.0264726817912076	0.0383777317744737
"Metabolic Diseases"	"cis-9-palmitoleic acid"	445638	"23324899, 28096141"	0.0268155247364406	0.0388616361012719
"Multiple Trauma"	"cis-9-palmitoleic acid"	445638	"7914941"	0.0281872746379134	0.0407812521935201
"Pediatric Obesity"	"cis-9-palmitoleic acid"	445638	"29301242"	0.0281872746379134	0.0407812521935201
"Cerebral Palsy"	"cis-9-palmitoleic acid"	445638	"23214140"	0.0320273355627719	0.0461190225415147
"Staphylococcal Skin Infections"	"cis-9-palmitoleic acid"	445638	"16040962"	0.0345789887947975	0.0495773153628323
